ITEM	ATRIBUTO	TIPO	DESCRIÇÃO DO ATRIBUTO
1	AVG_CM03	INPUT	Média de consumo dos últimos 3 meses.
2	AVG_CM06	INPUT	Média de consumo dos últimos 6 meses.
3	AVG_CM09	INPUT	Média de consumo dos últimos 9 meses.
4	AVG_CM12	INPUT	Média de consumo dos últimos 12 meses.
5	AVG_CONS24	INPUT	Média de consumo dos últimos 24 meses.
6	CF01	INPUT	Consumo faturado mês 1.
7	CF02	INPUT	Consumo faturado mês 2.
8	CF03	INPUT	Consumo faturado mês 3.
9	CF04	INPUT	Consumo faturado mês 4.
10	CF05	INPUT	Consumo faturado mês 5.
11	CF06	INPUT	Consumo faturado mês 6.
12	CF07	INPUT	Consumo faturado mês 7.
13	CF08	INPUT	Consumo faturado mês 8.
14	CF09	INPUT	Consumo faturado mês 9.
15	CF10	INPUT	Consumo faturado mês 10.
16	CF11	INPUT	Consumo faturado mês 11.
17	CF12	INPUT	Consumo faturado mês 12.
18	CF13	INPUT	Consumo faturado mês 13.
19	CF14	INPUT	Consumo faturado mês 14.
20	CF15	INPUT	Consumo faturado mês 15.
21	CF16	INPUT	Consumo faturado mês 16.
22	CF17	INPUT	Consumo faturado mês 17.
23	CF18	INPUT	Consumo faturado mês 18.
24	CF19	INPUT	Consumo faturado mês 19.
25	CF20	INPUT	Consumo faturado mês 20.
26	CF21	INPUT	Consumo faturado mês 21.
27	CF22	INPUT	Consumo faturado mês 22.
28	CF23	INPUT	Consumo faturado mês 23.
29	CF24	INPUT	Consumo faturado mês 24.
30	CF25	INPUT	Consumo faturado mês 25.
31	CF26	INPUT	Consumo faturado mês 26.
32	CF27	INPUT	Consumo faturado mês 27.
33	CF28	INPUT	Consumo faturado mês 28.
34	CF29	INPUT	Consumo faturado mês 29.
35	CF30	INPUT	Consumo faturado mês 30.
36	CF31	INPUT	Consumo faturado mês 31.
37	CF32	INPUT	Consumo faturado mês 32.
38	CF33	INPUT	Consumo faturado mês 33.
39	CF34	INPUT	Consumo faturado mês 34.
40	CF35	INPUT	Consumo faturado mês 35.
41	CF36	INPUT	Consumo faturado mês 36.
42	CF37	INPUT	Consumo faturado mês 37.
43	CF38	INPUT	Consumo faturado mês 38.
44	CF39	INPUT	Consumo faturado mês 39.
45	CF40	INPUT	Consumo faturado mês 40.
46	CF41	INPUT	Consumo faturado mês 41.
47	CF42	INPUT	Consumo faturado mês 42.
48	CF43	INPUT	Consumo faturado mês 43.
49	CM01	INPUT	Consumo medido no mês 1.
50	CM02	INPUT	Consumo medido no mês 2.
51	CM03	INPUT	Consumo medido no mês 3.
52	CM04	INPUT	Consumo medido no mês 4.
53	CM05	INPUT	Consumo medido no mês 5.
54	CM06	INPUT	Consumo medido no mês 6.
55	CM07	INPUT	Consumo medido no mês 7.
56	CM08	INPUT	Consumo medido no mês 8
57	CM09	INPUT	Consumo medido no mês 9.
58	CM10	INPUT	Consumo medido no mês 10.
59	CM11	INPUT	Consumo medido no mês 11.
60	CM12	INPUT	Consumo medido no mês 12.
61	CM13	INPUT	Consumo medido no mês 13.
62	CM14	INPUT	Consumo medido no mês 14.
63	CM15	INPUT	Consumo medido no mês 15.
64	CM16	INPUT	Consumo medido no mês 16.
65	CM17	INPUT	Consumo medido no mês 17.
66	CM18	INPUT	Consumo medido no mês 18.
67	CM19	INPUT	Consumo medido no mês 19.
68	CM20	INPUT	Consumo medido no mês 20.
