ITEM	ATRIBUTO	CORRELAÇÃO
1	AVG_CM03	-0,029222523
2	AVG_CM06	-0,025672146
3	AVG_CM09	-0,02800304
4	AVG_CM12	-0,026895474
5	AVG_CONS24	-0,045297244
6	CF01	-0,027280804
7	CF02	-0,028222567
8	CF03	-0,026455438
9	CF04	-0,025552585
10	CF05	-0,021963525
11	CF06	-0,022345095
12	CF07	-0,024841331
13	CF08	-0,02489008
14	CF09	-0,026130212
15	CF10	-0,027990332
16	CF11	-0,022972282
17	CF12	-0,021855508
18	CF13	-0,020193014
19	CF14	-0,026243704
20	CF15	-0,023472414
21	CF16	-0,016475253
22	CF17	-0,019049969
23	CF18	-0,021819249
24	CF19	-0,020384548
25	CF20	-0,02132433
26	CF21	-0,0232638
27	CF22	-0,021622143
28	CF23	-0,017651908
29	CF24	-0,018472537
30	CF25	-0,023371189
31	CF26	-0,02552629
32	CF27	-0,025877466
33	CF28	-0,022051385
34	CF29	-0,023342578
35	CF30	-0,027926921
36	CF31	-0,028375485
37	CF32	-0,030757977
38	CF33	-0,034428061
39	CF34	-0,037044653
40	CF35	-0,033033068
41	CF36	-0,035659293
42	CF37	-0,028355732
43	CF38	-0,039170118
44	CF39	-0,051216707
45	CF40	-0,053668363
46	CF41	-0,057615406
47	CF42	-0,049830718
48	CF43	0,002496648
49	CM01	-0,027685834
50	CM02	-0,029097558
51	CM03	-0,027707292
52	CM04	-0,026896746
53	CM05	-0,023301223
54	CM06	-0,024056157
55	CM07	-0,026526174
56	CM08	-0,026553774
57	CM09	-0,027565952
58	CM10	-0,029420886
59	CM11	-0,024372834
60	CM12	-0,023859064
61	CM13	-0,022124417
62	CM14	-0,028637581
63	CM15	-0,025966578
64	CM16	-0,019088239
65	CM17	-0,021766498
66	CM18	-0,025022657
67	CM19	-0,024003862
68	CM20	-0,024330935
69	CM21	-0,025913059
70	CM22	-0,024338296
71	CM23	-0,020585166
72	CM24	-0,021472443
73	CM25	-0,026003965
74	CM26	-0,005592304
75	CM27	-0,005966137
76	CM28	-0,022222842
77	CM29	-0,005124925
78	CM30	-0,005467135
79	CM31	-0,006082285
80	CM32	-0,004494086
81	CM33	-0,005509708
82	CM34	-0,012847243
83	CM35	-0,00899851
84	CM36	-0,008402829
85	CM37	-0,030559418
86	CM38	-0,041968037
87	CM39	-0,012081162
88	CM40	-0,055436822
89	CM41	0,000424267
90	CM42	-0,012148619
91	CM43	0,00063348
92	COD_100EX	0,026932625
93	COD_200EX	-0,012750976
94	COD_300EX	-0,462402761
95	DIFF_LG	-0,001254229
96	DIFF_MES_IDADE	-0,074904964
97	DVAP_CONS24	-0,035119394
98	ID_POSTE	0,001771272
99	INSTALACAO	0,074707998
100	LATITUDE	-0,205594452
101	LONGITUDE	-0,141526211
102	MAX_CONS24	-0,064524371
103	MED_CONS24	-0,040573088
104	MIN_CONS24	0,019909026
105	MIN01	0,029449434
106	MIN03	0,037366367
107	MIN04	0,039347047
108	MIN05	0,038778315
109	MIN06	0,040376014
110	MIN07	0,041688245
111	MIN08	0,040446927
112	MIN09	0,042799316
113	MIN10	0,042364825
114	MIN11	0,040614374
115	MIN12	0,046917627
116	MIN13	0,046538798
117	MIN14	0,049774324
118	MIN15	0,052761863
119	MIN16	0,052243284
120	MIN17	0,054108826
121	MIN18	0,056471522
122	MIN19	0,058753239
123	MIN20	0,056123298
124	MIN21	0,058178708
125	MIN22	0,059937394
126	MIN23	0,059574622
127	MIN24	0,061184727
128	MIN25	0,060752399
129	MIN26	0,054916524
130	MIN27	0,061799859
131	MIN28	0,061462104
132	MIN29	0,060059345
133	MIN30	0,058171032
134	MIN31	0,059663429
135	MIN32	0,060604954
136	MIN33	0,060401488
137	MIN34	0,066121543
138	MIN35	0,066028695
139	MIN36	0,063434157
140	MIN37	0,062866006
141	MIN38	0,064273821
142	MIN39	0,063494461
143	MIN40	0,058566686
144	MIN41	0,059604008
145	MIN42	0,049124814
146	NORMALIZACAO	0,043737269
147	QTD_MIN03	0,037360709
148	QTD_MIN06	0,04501577
149	QTD_MIN09	0,047784168
150	QTD_MIN12	0,049810625
151	REINCIDENCIA	0,448931154
152	SUM_COD100	0,020836636
153	SUM_COD200	-0,01383789
154	SUM_COD300	-0,370700008
155	SUM_MINIMOS12	-0,108488744
156	SUM_NORMALIZACAO	-0,197009547
157	SUM_TROCA_MD	-0,07099419
158	TARGET	1
159	TROCA_MD	0,141616845
160	UC_FISCALIZADAS	-0,197327044
161	VR01	0,0010111
162	VR02	-0,003990626
163	VR03	-0,004569693
164	VR04	-0,009580914
165	VR05	-0,00115616
166	VR06	0,005673781
167	VR07	0,000301952
168	VR08	0,007117693
169	VR09	0,010269991
170	VR10	-0,013124714
171	VR11	-0,001943129
172	VR12	-0,00629615
173	VR13	0,013441551
174	VR14	-0,006129219
175	VR15	-0,016130666
176	VR16	0,003853109
177	VR17	0,004929725
178	VR18	-0,003285106
179	VR19	0,003047754
180	VR20	0,007902888
181	VR21	-0,002782128
182	VR22	-0,007200769
183	VR23	0,002840499
184	VR24	0,007880534
185	VR25	-0,000238902
186	VR26	0,000203021
187	VR27	-0,000501431
188	VR28	-0,000347794
189	VR29	0,000294242
190	VR30	0,00033734
191	VR31	0,000112935
192	VR32	0,000760682
193	VR33	0,00312615
194	VR34	-0,00276863
195	VR35	-0,000445899
196	VR36	-0,000153623
197	VR37	0,008099518
198	VR38	0,001879755
199	VR39	-7,5318E-05
200	VR40	-0,0004255
201	VR41	0,000425539
202	VR42	-0,009128408
